Year,Mean_Max_Temp,Mean_Min_Temp,Median_Rainfall
1905,13.467520206428112,5.907180207187038,47.7
1905,13.467520206428112,5.907180207187038,113.9
1905,13.467520206428112,5.907180207187038,75.8
1906,13.403835616438357,5.847671232876713,135.2
1906,13.403835616438357,5.847671232876713,84.4
1906,13.403835616438357,5.847671232876713,67.6
1906,13.403835616438357,5.847671232876713,52.4
1906,13.403835616438357,5.847671232876713,99.0
1906,13.403835616438357,5.847671232876713,49.0
1906,13.403835616438357,5.847671232876713,64.8
1906,13.403835616438357,5.847671232876713,87.1
1906,13.403835616438357,5.847671232876713,34.5
1906,13.403835616438357,5.847671232876713,131.7
1906,13.403835616438357,5.847671232876713,72.5
1906,13.403835616438357,5.847671232876713,90.0
1907,13.075205479452055,5.534246575342467,47.0
1907,13.075205479452055,5.534246575342467,63.6
1907,13.075205479452055,5.534246575342467,75.6
1907,13.075205479452055,5.534246575342467,75.9
1907,13.075205479452055,5.534246575342467,104.7
1907,13.075205479452055,5.534246575342467,111.4
1907,13.075205479452055,5.534246575342467,69.7
1907,13.075205479452055,5.534246575342467,95.8
1907,13.075205479452055,5.534246575342467,40.0
1907,13.075205479452055,5.534246575342467,140.7
1907,13.075205479452055,5.534246575342467,92.7
1907,13.075205479452055,5.534246575342467,130.3
1908,13.698091205506747,6.123950125290584,84.4
1908,13.698091205506747,6.123950125290584,67.2
1908,13.698091205506747,6.123950125290584,106.3
1908,13.698091205506747,6.123950125290584,67.0
1908,13.698091205506747,6.123950125290584,74.4
1908,13.698091205506747,6.123950125290584,51.0
1908,13.698091205506747,6.123950125290584,81.3
1908,13.698091205506747,6.123950125290584,97.7
1908,13.698091205506747,6.123950125290584,151.4
1908,13.698091205506747,6.123950125290584,60.5
1908,13.698091205506747,6.123950125290584,73.7
1908,13.698091205506747,6.123950125290584,116.4
1909,12.996325276059652,5.136656547641635,72.8
1909,12.996325276059652,5.136656547641635,53.1
1909,12.996325276059652,5.136656547641635,91.9
1909,12.996325276059652,5.136656547641635,128.0
1909,12.996325276059652,5.136656547641635,52.0
1909,12.996325276059652,5.136656547641635,53.6
1909,12.996325276059652,5.136656547641635,75.7
1909,12.996325276059652,5.136656547641635,40.4
1909,12.996325276059652,5.136656547641635,63.1
1909,12.996325276059652,5.136656547641635,158.4
1909,12.996325276059652,5.136656547641635,49.7
1909,12.996325276059652,5.136656547641635,120.8
1910,12.96958904109589,5.607534246575343,101.1
1910,12.96958904109589,5.607534246575343,145.4
1910,12.96958904109589,5.607534246575343,67.5
1910,12.96958904109589,5.607534246575343,67.6
1910,12.96958904109589,5.607534246575343,65.0
1910,12.96958904109589,5.607534246575343,108.8
1910,12.96958904109589,5.607534246575343,88.8
1910,12.96958904109589,5.607534246575343,155.0
1910,12.96958904109589,5.607534246575343,28.7
1910,12.96958904109589,5.607534246575343,69.9
1910,12.96958904109589,5.607534246575343,114.7
1910,12.96958904109589,5.607534246575343,115.7
1911,13.834486677705854,5.643013322294144,46.7
1911,13.834486677705854,5.643013322294144,81.8
1911,13.834486677705854,5.643013322294144,56.6
1911,13.834486677705854,5.643013322294144,67.2
1911,13.834486677705854,5.643013322294144,56.2
1911,13.834486677705854,5.643013322294144,55.1
1911,13.834486677705854,5.643013322294144,80.3
1911,13.834486677705854,5.643013322294144,65.2
1911,13.834486677705854,5.643013322294144,73.4
1911,13.834486677705854,5.643013322294144,110.6
1911,13.834486677705854,5.643013322294144,130.9
1911,13.834486677705854,5.643013322294144,195.3
1912,13.140531294485008,5.171760343481655,114.2
1912,13.140531294485008,5.171760343481655,105.3
1912,13.140531294485008,5.171760343481655,122.6
1912,13.140531294485008,5.171760343481655,34.5
1912,13.140531294485008,5.171760343481655,38.5
1912,13.140531294485008,5.171760343481655,144.5
1912,13.140531294485008,5.171760343481655,117.3
1912,13.140531294485008,5.171760343481655,133.5
1912,13.140531294485008,5.171760343481655,25.2
1912,13.140531294485008,5.171760343481655,84.2
1912,13.140531294485008,5.171760343481655,75.4
1912,13.140531294485008,5.171760343481655,128.7
1913,13.596337519025877,4.516004566210046,173.0
1913,13.596337519025877,4.516004566210046,53.2
1913,13.596337519025877,4.516004566210046,106.6
1913,13.596337519025877,4.516004566210046,104.9
1913,13.596337519025877,4.516004566210046,114.2
1913,13.596337519025877,4.516004566210046,71.8
1913,13.596337519025877,4.516004566210046,24.3
1913,13.596337519025877,4.516004566210046,37.1
1913,13.596337519025877,4.516004566210046,107.1
1913,13.596337519025877,4.516004566210046,124.3
1913,13.596337519025877,4.516004566210046,120.4
1913,13.596337519025877,4.516004566210046,80.7
1914,13.734424008852596,5.478829320410577,59.6
1914,13.734424008852596,5.478829320410577,149.9
1914,13.734424008852596,5.478829320410577,125.5
1914,13.734424008852596,5.478829320410577,45.8
1914,13.734424008852596,5.478829320410577,52.1
1914,13.734424008852596,5.478829320410577,31.5
1914,13.734424008852596,5.478829320410577,85.4
1914,13.734424008852596,5.478829320410577,125.8
1914,13.734424008852596,5.478829320410577,62.7
1914,13.734424008852596,5.478829320410577,56.3
1914,13.734424008852596,5.478829320410577,117.7
1914,13.734424008852596,5.478829320410577,211.0
1915,12.853880440702106,4.653385279209083,102.7
1915,12.853880440702106,4.653385279209083,140.3
1915,12.853880440702106,4.653385279209083,31.1
1915,12.853880440702106,4.653385279209083,55.7
1915,12.853880440702106,4.653385279209083,47.3
1915,12.853880440702106,4.653385279209083,48.9
1915,12.853880440702106,4.653385279209083,134.2
1915,12.853880440702106,4.653385279209083,83.2
1915,12.853880440702106,4.653385279209083,49.4
1915,12.853880440702106,4.653385279209083,118.4
1915,12.853880440702106,4.653385279209083,89.2
1915,12.853880440702106,4.653385279209083,170.3
1916,12.813158822492507,5.217202297966444,75.5
1916,12.813158822492507,5.217202297966444,122.5
1916,12.813158822492507,5.217202297966444,58.6
1916,12.813158822492507,5.217202297966444,94.8
1916,12.813158822492507,5.217202297966444,113.8
1916,12.813158822492507,5.217202297966444,66.3
1916,12.813158822492507,5.217202297966444,59.6
1916,12.813158822492507,5.217202297966444,84.5
1916,12.813158822492507,5.217202297966444,55.2
1916,12.813158822492507,5.217202297966444,206.2
1916,12.813158822492507,5.217202297966444,162.9
1916,12.813158822492507,5.217202297966444,93.6
1917,12.524619305511308,4.595574227460975,62.1
1917,12.524619305511308,4.595574227460975,48.4
1917,12.524619305511308,4.595574227460975,83.2
1917,12.524619305511308,4.595574227460975,48.5
1917,12.524619305511308,4.595574227460975,87.6
1917,12.524619305511308,4.595574227460975,60.3
1917,12.524619305511308,4.595574227460975,67.9
1917,12.524619305511308,4.595574227460975,195.7
1917,12.524619305511308,4.595574227460975,56.7
1917,12.524619305511308,4.595574227460975,139.6
1917,12.524619305511308,4.595574227460975,99.3
1917,12.524619305511308,4.595574227460975,71.2
1918,13.804931506849314,5.117123287671233,102.0
1918,13.804931506849314,5.117123287671233,124.1
1918,13.804931506849314,5.117123287671233,53.0
1918,13.804931506849314,5.117123287671233,38.9
1918,13.804931506849314,5.117123287671233,64.3
1918,13.804931506849314,5.117123287671233,45.5
1918,13.804931506849314,5.117123287671233,100.4
1918,13.804931506849314,5.117123287671233,76.3
1918,13.804931506849314,5.117123287671233,174.0
1918,13.804931506849314,5.117123287671233,120.7
1918,13.804931506849314,5.117123287671233,97.4
1918,13.804931506849314,5.117123287671233,145.2
1919,13.089376674064436,4.457850692584373,116.6
1919,13.089376674064436,4.457850692584373,64.3
1919,13.089376674064436,4.457850692584373,80.7
1919,13.089376674064436,4.457850692584373,48.8
1919,13.089376674064436,4.457850692584373,78.7
1919,13.089376674064436,4.457850692584373,66.3
1919,13.089376674064436,4.457850692584373,34.3
1919,13.089376674064436,4.457850692584373,82.0
1919,13.089376674064436,4.457850692584373,73.6
1919,13.089376674064436,4.457850692584373,38.0
1919,13.089376674064436,4.457850692584373,73.2
1919,13.089376674064436,4.457850692584373,160.9
1920,13.32899705758722,5.179265657839428,144.3
1920,13.32899705758722,5.179265657839428,66.9
1920,13.32899705758722,5.179265657839428,102.0
1920,13.32899705758722,5.179265657839428,102.6
1920,13.32899705758722,5.179265657839428,103.5
1920,13.32899705758722,5.179265657839428,53.7
1920,13.32899705758722,5.179265657839428,125.4
1920,13.32899705758722,5.179265657839428,70.3
1920,13.32899705758722,5.179265657839428,66.5
1920,13.32899705758722,5.179265657839428,130.4
1920,13.32899705758722,5.179265657839428,105.1
1920,13.32899705758722,5.179265657839428,104.1
1921,14.51628733089424,6.019609886837403,110.5
1921,14.51628733089424,6.019609886837403,47.2
1921,14.51628733089424,6.019609886837403,94.7
1921,14.51628733089424,6.019609886837403,26.1
1921,14.51628733089424,6.019609886837403,60.5
1921,14.51628733089424,6.019609886837403,8.4
1921,14.51628733089424,6.019609886837403,106.6
1921,14.51628733089424,6.019609886837403,112.5
1921,14.51628733089424,6.019609886837403,41.6
1921,14.51628733089424,6.019609886837403,86.3
1921,14.51628733089424,6.019609886837403,110.8
1921,14.51628733089424,6.019609886837403,91.8
1922,13.090893854748604,4.519641463227979,120.5
1922,13.090893854748604,4.519641463227979,108.7
1922,13.090893854748604,4.519641463227979,58.8
1922,13.090893854748604,4.519641463227979,82.1
1922,13.090893854748604,4.519641463227979,49.6
1922,13.090893854748604,4.519641463227979,46.9
1922,13.090893854748604,4.519641463227979,93.6
1922,13.090893854748604,4.519641463227979,111.6
1922,13.090893854748604,4.519641463227979,88.5
1922,13.090893854748604,4.519641463227979,39.1
1922,13.090893854748604,4.519641463227979,50.6
1922,13.090893854748604,4.519641463227979,111.0
1923,12.82122835163931,5.092979143527089,82.9
1923,12.82122835163931,5.092979143527089,174.1
1923,12.82122835163931,5.092979143527089,70.5
1923,12.82122835163931,5.092979143527089,97.2
1923,12.82122835163931,5.092979143527089,46.2
1923,12.82122835163931,5.092979143527089,29.1
1923,12.82122835163931,5.092979143527089,79.3
1923,12.82122835163931,5.092979143527089,156.8
1923,12.82122835163931,5.092979143527089,108.4
1923,12.82122835163931,5.092979143527089,123.1
1923,12.82122835163931,5.092979143527089,97.6
1923,12.82122835163931,5.092979143527089,98.9
